,COIL_NO,PRDSPC_ID,PNSPRC_CD,cycle,WDT_LEN,WGT_WGT,IND_CD,OUD_LEN,STL_CD,EMG_CD,고객사
188,22H11A61115,S20CM-R,AN11,620,184.0,1683,,1319,10021,1282N,NaN
189,22H11A69112,S20CM-R,AN11,620,179.0,1439,,1250,10021,1282N,NaN
190,22H11A901111A,S20CM-R,AN11,620,179.0,1741,,1355,10021,1282N,NaN
191,22H11A901121A,S20CM-R,AN11,620,179.0,1786,,1370,10021,1282N,NaN
192,22H11A961111A,SPCC-1BP,AN11,620,629.0,8655,,1614,10021,1282N,NaN
193,22H11A961121A,SPCC-1BP,AN11,620,629.0,8557,,1606,10021,1282N,NaN
194,22H11B111111A,SPCC-1BP,AN11,620,208.0,1770,,1280,10021,1282N,NaN
195,22H11B111121A,SPCC-1BP,AN11,620,208.0,1770,,1280,10021,1282N,NaN
196,22H11B14111,SCP1-S-B,AN11,620,182.0,1665,,1320,10021,1282N,NaN
197,22H11B43111,S20CM-R,AN11,620,184.0,1744,,1340,10021,1282N,NaN
198,22H11B43112,S20CM-R,AN11,620,184.0,1595,,1290,10021,1282N,NaN
199,22H11B841111A,SCP1-1/2H-B,AN11,620,360.0,6618,,1831,10021,1282N,NaN
200,22H11C611111A,S20CM-R,AN11,620,262.0,1987,,1220,10021,1282N,NaN
201,22H11C612111A,S20CM-R,AN11,620,262.0,1987,,1220,10021,1282N,NaN
202,22H11C613111A,S20CM-R,AN11,620,424.0,3216,,1220,10021,1282N,NaN
203,22H11C69111,S20CM-R,AN11,620,179.0,1537,,1285,10021,1282N,NaN
204,22H11E431111AA,S20CM-R,AN11,620,380.0,5352,,1630,10021,1282N,NaN
205,22H11E431121A,S20CM-R,AN11,620,380.0,7497,,1890,10021,1282N,NaN
206,22H11E431131A,S20CM-R,AN11,620,380.0,7413,,1880,10021,1282N,NaN
207,22H11E431141A,S20CM-R,AN11,620,380.0,7327,,1871,10021,1282N,NaN
208,22H11E431151A,S20CM-R,AN11,620,380.0,7457,,1885,10021,1282N,NaN
209,22H11E79111,S20CM-S,AN11,620,184.0,1744,,1340,10021,1282N,NaN
210,22H11E79113,S20CM-S,AN11,620,184.0,1716,,1330,10021,1282N,NaN
